German,English
anfangen,begin
Habe,Have
hinten,rear
fällt,fall
wen,whom
Sekunden,Seconds
Manchmal,Once in a while
gerettet,saved
Naja,Oh well
Gibt,Gives
jemals,ever
Meinung,opinion
geschehen,happen
Antwort,answer
schlimm,terrible
Eigentlich,actually
findet,find
Scheiß,Shit
gewinnen,to win
Tu,Do
Gedanken,thoughts
erinnere,recall
mögen,to like
Herren,Men
klingt,sound
vorher,before
Auge,eye
hab',have
setzen,set
cool,cool
Anfang,Beginning
Immer,always
danach,thereafter
Monate,months
Lebens,Lifetime
Beste,best
benutzen,use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,there
gelernt,learned
fallen,fall
böse,angry
werd,be
Nähe,vicinity
geschickt,sent
liebt,loving
Tisch,table
Mehr,More
Ziel,target
Raum,space
jedem,each
fliegen,to fly
Wohnung,apartment
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,hereabouts
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Will
Warten,Wait
großer,greater
arbeitet,is working
Euer,Your
Worte,Words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,A
Glaubst,Believe
falls,if
schreiben,to write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,be
Verzeihung,forgiveness
niemanden,no one
neues,new
Weiß,White
benutzt,used
nen,nine
jedes,each
schätze,treasure
Finger,finger
wert,value
rüber,over
halte,hold
Falls,If
besonders,particularly
Daddy,Daddy
Witz,joke
nachdem,after this
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,Heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proud
Egal,All the same
komisch,funny
bitten,ask
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believe
Seid,Are
hörte,heard
rum,rum
Lage,location
sowieso,anyway
bekommt,receives
Ruf,call
dagegen,against it
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,keep
selber,himself
verkaufen,Selling
geschrieben,written
Entscheidung,decision
unterwegs,On the way
Insel,Island
Hotel,hotel
voller,full of
frage,question
Monat,month
rufe,call
verdient,deserved
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,ghost
Gefahr,danger
Gefallen,Please
unmöglich,not possible
gelesen,had read
glaub,belie
Wegen,Because
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,Monthly
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,example
kalt,cold
sitzt,sitting
Anruf,Call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damn
euer,your
hole,go
Denkst,Think
Bauer,Farmer
Karte,map
aller,all
du's,You's
Befehl,command
darfst,durable
bekannt,known
Opfer,victim
unglaublich,incredible
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,beat
kriegt,wart
Glauben,Believe
sieh,look
nennt,is called
bin's,be
Gefühle,Feelings
ständig,constant
verändert,changes
tolle,great
Gottes,God
heiß,hot
Partner,partner
Mörder,murderer
folgen,follow
Mich,Me
Computer,computer
dahin,there
ansehen,watch
Außerdem,aside from that
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,seek
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,might
entschuldigen,to apologize
Vorsicht,caution
Nase,nose
sowas,like this
schießen,shoot
alter,age
Geburtstag,date of birth
beschützen,to protect
Zurück,Return
müde,tired
Beziehung,relationship
gestohlen,stolen
stirbt,dying
Geheimnis,secret
süß,Sweet
offen,open minded
Ihrem,Yours
Geschenk,gift
Punkt,Point
Über,Above
hilft,help
Dame,lady
bewegen,move
solange,so long
sauer,angry
Tasche,bag
Schritt,step
Sie's,You's
Setz,Sitting
Arm,poor
meinte,donated
müsst,must
erwischt,Caught
gehabt,lust
Bart,beard
vertrauen,to trust
erreichen,reach
wär,would be
Gebäude,building
Ähm,Um
versprochen,promised
O,O
fort,fort
erledigt,completed
Armee,army
nahm,took
näher,closer
weitere,Further
Will,Want
Rücken,move
Chef,boss
Regierung,government
Preis,price
Hm,Hm
Wunder,wonder
Verbindung,link
Bescheid,notice
Boot,boat
Situation,situation
normal,normal
erledigen,complete
mußt,must
Ehre,honor
Planeten,Planet
fürs,for
darin,in this
kriegst,get
ich's,I ... it
drehen,turn
Denk,Think
Prinzessin,princess
Drogen,Drugs
Reise,trip
Mord,murder
Ob,If
Toll,Great
schwöre,swear
Zeiten,Time
Schlampe,slut
Regeln,rules
aussehen,look
Rede,speech
verliebt,in love
Position,position
redet,talk
Scheisse,Shit
Möglichkeit,opportunity
Sonne,Sun
hol,hold
letzter,last
Kontakt,Contact
Könnte,Could
Damen,Ladies
deswegen,because of this
ähm,um
gekauft,bought
Schwert,sword
Hunger,hunger
Frieden,peace
persönlich,personally
Blick,view
Einzige,Only one
Nachrichten,news
Maul,Mouth
verraten,betray
Hoffnung,hope
geboren,born
Untertitel,subtitle
kaputt,broken
Soldaten,soldiers
eigene,own
ans,to
übrig,left over
Muss,Got to
hältst,hold
aufhalten,stop
Zeichen,sign
Sofort,Immediately
dauert,take
versteckt,hidden
tatsächlich,In fact
Schwein,pig
Band,tape
Laß,Let
Haare,hair
wütend,furious
Hochzeit,wedding
schrecklich,dreadful
fühlt,feels
Energie,energy
traurig,Sad
sauber,clean
Leiche,corpse
links,Left
Kleine,Small
super,Super
Bord,Board
möchten,want
Erst,First
magst,like
fangen,catch
gesucht,sought
beschäftigt,employed
wisst,knowing
weisst,knowing
Wartet,Waits
erwarten,expect
verschwunden,disappeared
Professor,professor
sobald,as soon as
geredet,talked
Brief,letter
acht,eight
Lauf,Run
zeigt,shows
Show,show
hübsch,pretty
sucht,seeks
verkauft,sold
sagtest,assessed
namens,called
Fernsehen,TV
wohin,where
Hol,Hold
ließ,pitch
heiße,name is
fährt,moves
tanzen,to dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,is missing
Vergangenheit,past
miteinander,together
deines,Your
neben,Next
Handy,mobile
anderer,another
tief,deep
ran,ran
Runter,Down
Aufgabe,task
richtigen,right
Foto,photo
schau,look
verdammten,damn
Tee,tea
sieben,seven
Fuß,foot
geschlafen,sleep
brauch,custom
Kindern,Children
Beine,legs
ewig,eternal
absolut,absolutely
hm,Hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,To meet
irgendetwas,anything
hörst,hear
Bombe,bomb
bekam,got
Herrn,Mr
Halten,Keep
gelassen,calmly
Tante,aunt
angefangen,begun
Hals,throat
vorne,in front
Bullen,cops
Bank,Bank
Weise,way
verantwortlich,responsible
öffnen,to open
schwierig,difficult
seh,see
bleibe,stay
rechts,to the right
Operation,surgery
Sollen,Should
Anwalt,attorney
verspreche,promising
bleibst,stay
a,a
Glückwunsch,congratulation
entscheiden,decide
entfernt,removed
brachte,brought
zerstören,destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,look
Tun,To do
Lust,desire
Vaters,Father
Uh,Uh
Meinst,Mean
Bilder,pictures
uh,uh
kriege,wars
Feind,enemy
Händen,Hands
jung,young
Ball,ball
stecken,put
Sobald,As soon
Reden,Talk
geholfen,help
gleichen,equal
gehören,belong
wach,awake
genannt,called
zahlen,counting
nahe,vicinity
Aufnahme,recording
Achtung,Attention
gleiche,same
Viele,Many
Mission,mission
bekomme,get
laut,according to
Schmerz,pain
Ehrlich,Honest
Schlag,Punch
Jawohl,Yes sir
Fleisch,meat
legen,place
möchtest,want
Verstehst,Understand
Wozu,What for
Weihnachten,Christmas
Erinnerst,Remember
Zieh,Pull
Schwierigkeiten,trouble
Park,park
Durch,By
Bleiben,Stay
wussten,knew
meint,means
Gesellschaft,society
gebeten,prayer
erhalten,obtain
bedeuten,mean
Kennst,Know
verstecken,hide
Respekt,respect
dasselbe,the same thing
Gehirn,brain
entschieden,decided
zieht,pull
liebst,love
dachten,thought
Witze,Jokes
na,n / A
sorgen,care for
All,Alles
Volk,people
Rat,advice
lebe,live
Präsidenten,President
Schuhe,shoes
Monster,monster
dauern,last
Beweise,proofs
Hälfte,half
schauen,look
Kirche,church
Eines,One
Hintern,butt
Spur,track
Lehrer,Teacher
Hilf,Help
Gold,gold
Denken,Think
lieb,Dear
wunderbar,Marvelous
Güte,quality
lasst,leaves
geliebt,loved
fahre,drive
Loch,hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,prove
Zeig,show
Kleiner,Smaller
gegenüber,opposite to
Bus,bus
großes,big
Verstand,understanding
trägt,wearing
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,area
Bevor,Before
schönen,pretty
seltsam,strange
bewegt,emotional
Haut,skin
Fotos,photos
nah,close
Angriff,attack
Erzähl,Narrow
interessant,Interesting
Schlaf,sleep
Wind,wind
Messer,knife
lag,lay
fürchte,fear
beginnt,begins
Weiter,Further
überrascht,surprised
Stell,Set
gefangen,captured
bleib,stay
Bein,leg
Eier,Eggs
singen,to sing
seht,look
Überraschung,surprise
Dorf,village
besorgen,obtain
Glas,Glass
Fünf,Five
Einfach,Simple
besuchen,to visit
geändert,changed
beginnen,kick off
echte,true
Pferd,horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take along
Gruppe,group
Sorry,Sorry
besorgt,concerned
System,system
Gleich,Same
Würde,Would
ruft,calls
Fahren,Travel
Steh,Stand up
nimmst,take
Obwohl,Even though
Bringt,Brings
falschen,false
leisten,Afford
schwanger,pregnant
Fahr,Driving
Adresse,address
gemeinsam,together
entkommen,escape
übel,bad
vermisst,missing
Lady,lady
Küche,kitchen
Flug,flight
Besuch,visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,ring
Verschwinde,Disappear
überleben,survive
Gesetz,law
Tor,gate
Wald,Forest
ungefähr,approximately
Patienten,Patient
Maschine,machine
Könnten,Could
junge,Boy
Fräulein,young lady
gehts,go
Ehe,before
Würden,Would
Schauspieler,actor
Dach,roof
Übersetzung,translation
kannte,knew
Bringen,Bring
wir's,we s
drinnen,inside
Wisst,Knowing
Während,While
Tat,did
Suche,seek
Letzte,Last
blöd,stupid
Blumen,flower
Setzen,Set
Freiheit,freedom
seines,his
Ecke,corner
Wäre,Were
Knast,Jail
Karten,cards
pro,Per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,enjoyment
Uns,US
Unterschied,difference
Lieber,rather
Verbrechen,crime
gibst,give
Vertrauen,to trust
gesund,healthy
Deswegen,Because of this
zweite,second
Hörst,Hear
erkennen,recognize
Meter,meter
euren,go
weder,neither
Schüler,pupils
obwohl,although
bisher,until now
welcher,which
Mut,courage
davor,before
Bar,bar
wohnen,reside
Dem,To the
Echt,Really
statt,instead of
Pause,Break
Neues,New
Auftrag,assignment
Hoffentlich,Hopefully
Tschüss,bye
Wand,Wall
schreit,cries
Männern,Men
Kennen,Know
spreche,speak
kostet,cost
Zuerst,First
Erfolg,success
Wofür,For what
soweit,so far
Möchtest,Want
Meinen,Say
teilen,share
erschossen,shot
entlang,along
Eis,ice cream
nem,nem
Amerikaner,American
Abendessen,Dinner
Mistkerl,Mistker
übernehmen,take over
Irgendwas,Anything
danken,to thank
irgendwann,Sometime
gebaut,built
schützen,protection
beenden,break up
Super,Super
Polizist,police officer
gefahren,drove
Bericht,report
wovon,About what
Test,test
Monsieur,Monsion
Arme,poor
wüsste,knew
woher,where
Majestät,majesty
Fertig,complete
versteht,understands
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Haltet,Holding
Zeitung,newspaper
Mami,Mum
schuldig,guilty
bauen,build
Freude,joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,Never
sprach,spoke
indem,by doing
gemeint,meant
fühlst,feel
deren,whose
Quatsch,nonsense
Kugel,Bullet
Klingt,Sound
hielt,held
Gericht,court
furchtbar,terrible
Würdest,Thought
Wirst,Become
verpasst,lost
Ohren,Ear
Rose,rose
neuer,news
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,deal
Ma'am,Ma'am
Haar,hair
stehe,stand
fassen,grasp
Ehemann,husband
funktionieren,function
fragte,asked
verhaftet,arrest
drüber,over
Sergeant,sergeant
stimmt's,right
Verantwortung,responsibility
Major,major
feiern,celebrate
Bücher,Books
kümmere,caress
ähnlich,similar
unterhalten,to chat
Stein,stone
kümmert,takes care
nächstes,next
gewusst,knew
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,cat
geschieht,happening
Brüder,brothers
mitgebracht,brought
unseres,our
Verstehe,understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,insanity
vorhin,earlier
Neuigkeiten,news
setzt,puts
klasse,Great
Einige,Some
zufällig,coincidentally
Kleid,a dress
Jedenfalls,In any case
Angebot,offer
erklärt,explained
stellt,set
Restaurant,restaurant
Kommst,Come
Zur,To the
Serie,series
melden,Report
Brücke,bridge
Erinnerungen,memories
gestellt,posed
Sagt,Says
Schmerzen,pains
besteht,consists
verdienen,to earn
hallo,Hello
offensichtlich,apparently
Fisch,fish
hängen,hang
Gelegenheit,occasion
Endlich,Finally
Möchten,Want
konntest,met
bekommst,get
Idioten,Idiot
Virus,virus
größte,largest
gingen,worn
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,no
bringst,bring
Süße,Sweet
irgendwelche,any
Thema,topic
Date,Date
Stellen,Place
machten,put
diesmal,this time
Guck,Look
Figur,figure
Weisst,Knowing
ne,ne
brechen,break
lacht,laugh
Gar,At all
angetan,imaginable
Paar,Pair
Druck,pressure
mitkommen,come along
reich,rich
Nie,Never
Fluss,flow
wirkt,act
Werden,Will
traf,met
schließlich,in the end
Richtige,right one
Gewalt,violence
gelaufen,ran
Daten,data
Hunde,dogs
Großvater,grandfather
wahre,real
nachgedacht,thoughtful
Falle,Cases
eigenes,own
Gang,corridor
sahen,saw
erreicht,achieved
Willen,Saw
solchen,such
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,animals
Sollte,Should
ner,ner
längst,a long time ago
Autos,cars
Hätte,Would have
wohnt,lover
krieg,war
fiel,fell
Hose,trousers
leiden,To suffer
Hau,Haunt
sprichst,speak
freue,am happy
Außer,Except
gebrochen,Broken
Baum,tree
gehalten,held
Träume,dreams
Reihe,line
stelle,Job
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,wish
erster,first
Befehle,Commands
Bastard,bastard
rief,shouted
Nachdem,After this
Toten,Kill
Frühstück,breakfast
schaffst,man
ihres,Yours
hat's,it has it
aufgeben,to give up
Gespräch,conversation
Engel,Angel
verbringen,spend
Terroristen,Terrorist
Erfahrung,experience
brauchte,needed
schätzen,estimate
seien,be
Nehmt,Taking
Bad,bath
Vogel,bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remain
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,follow
schläft,is sleeping
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,Yours
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,conclude
Pistole,pistol
lächerlich,ridiculous
Filme,Movie
